Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
"Ninho, Niska",Maman ne le sait pas (feat. Niska),spotify:track:5c2HadbVTsMKjja4gohEFI,106,0.399,0.755,0.875,0,7,0.115,-5.944,0,0.193,145.008,0.393
"ROSALÍA, The Weeknd",LA FAMA,spotify:track:6Y46tOTRhkBamosyuWa6YX,104,0.947,0.766,0.295,4.44e-05,0,0.119,-7.893,0,0.0464,136.016,0.805
Landy,Médusa,spotify:track:2hL0WVDLvlxZ60J4YyWvFW,104,0.474,0.714,0.829,0,4,0.0958,-5.129,0,0.053,106.025,0.432
"Kore, Ninho",Mon poto - Extrait de la BO de « En Passant Pécho »,spotify:track:5qFOdxS3v8Dny9T4p2CUIy,104,0.904,0.743,0.622,1.66e-05,4,0.143,-5.332,0,0.136,140.054,0.317
"Angèle, Damso",Démons,spotify:track:3gAEAmxdP1GIjgQ3Zud2mE,102,0.482,0.657,0.643,2.08e-06,8,0.189,-6.661,0,0.0433,82.516,0.394
Favé,Urus,spotify:track:7A2DyRIqqelhZ4caPJMaFI,102,0.0297,0.71,0.712,0.00138,11,0.0975,-7.436,0,0.3,162.106,0.596
Elley Duhé,MIDDLE OF THE NIGHT,spotify:track:58HvfVOeJY7lUuCqF0m3ly,102,0.0228,0.41,0.611,0,4,0.116,-8.271,0,0.0467,185.727,0.0899
"Gazo, Ninho",MAUVAIS 2X (feat. Ninho),spotify:track:6UlSVbJrj3wsyxjGM4KPAv,102,0.36,0.736,0.666,0,0,0.0881,-7.851,1,0.255,138.656,0.744
Jul,Avant la douane,spotify:track:3AwXhQWatI5b1sLIhsnOdP,102,0.673,0.844,0.651,7.08e-05,0,0.174,-9.162,0,0.23,138.038,0.795
Damso,Γ. Mosaïque solitaire,spotify:track:7wFK2ReVQpq80IAGs6eI1l,102,0.375,0.56,0.591,5.74e-06,6,0.127,-9.914,1,0.316,126.628,0.369
Lomepal,Decrescendo,spotify:track:4otT81iBBpaf36roGtzT4a,102,0.595,0.681,0.459,0,0,0.0828,-7.178,0,0.0398,83.47,0.33
Ed Sheeran,Shivers,spotify:track:50nfwKoDiSYg8zOCREWAm5,102,0.281,0.788,0.859,0,2,0.0424,-2.724,1,0.0856,141.02,0.822
Ziak,Raspoutine,spotify:track:368KS9UNJ8cft7RJ1USwb9,102,0.215,0.91,0.658,0,5,0.091,-8.843,1,0.382,145.023,0.616
"Tiakola, Niska, Gazo",Mode AV (feat. Niska & Gazo),spotify:track:5b8HD1dJDuPawgS5FjSC2q,102,0.352,0.684,0.538,0.000144,10,0.194,-8.189,1,0.038,144.005,0.788
RK,Lola,spotify:track:43vjYTKZg8R5LsuITJ4wVu,100,0.117,0.683,0.689,0,4,0.0688,-5.62,1,0.183,73.039,0.413
"Naps, Ninho",6.3,spotify:track:3lTL4LdFKVF51lseI2nk5D,100,0.688,0.875,0.613,0,3,0.114,-7.229,0,0.21,119.964,0.752
Vacra,Tiki Taka,spotify:track:6pIciAIov7TP5Zj4PTN9rc,100,0.416,0.836,0.879,0.349,7,0.108,-5.187,0,0.0433,112.035,0.729
"Heuss L'enfoiré, Jul",Moulaga,spotify:track:5BfCoUcWNXcpyJfjXRIeyC,98,0.327,0.71,0.699,4.64e-06,7,0.0975,-4.664,0,0.1,125.051,0.484
Ninho,Tout en Gucci,spotify:track:0i5GJckWb9uCZU4jcGoBca,98,0.548,0.776,0.662,5.1e-06,3,0.117,-7.586,0,0.233,121.987,0.5
Lil Nas X,THATS WHAT I WANT,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,98,0.00614,0.737,0.846,0,1,0.0486,-4.51,0,0.22,87.981,0.546
PNL,J’comprends pas,spotify:track:1CxtymiucDK0AB9vgGZ6q2,98,0.228,0.373,0.523,0.0171,1,0.111,-9.111,1,0.041,104.959,0.0398
"Coldplay, BTS",My Universe,spotify:track:46HNZY1i7O6jwTA7Slo2PI,96,0.0114,0.573,0.711,0,1,0.328,-6.268,0,0.0406,105.006,0.47
"Kalash, Gazo",Tu le sais,spotify:track:1frmYvoVtyFlGypiapnkrX,96,0.352,0.731,0.59,0,5,0.126,-6.27,0,0.126,91.989,0.321
PNL,Bené,spotify:track:00X2yv2vrtritPt2CZnUTZ,94,0.491,0.784,0.7,0,7,0.108,-7.649,0,0.108,82.028,0.769
"Le classico organisé, Koba LaD, Jul, PLK, SCH, Gazo, Soso Maness, Kofs, Guy2Bezbar, Naps",Le classico organisé,spotify:track:2O9enJqAqs46tfBlGhLsnW,94,0.321,0.828,0.878,0,7,0.1,-5.241,1,0.269,142.886,0.777
SDM,Le temps,spotify:track:2wJrNhc8ZdGkR89laXk9mH,94,0.176,0.593,0.654,0,4,0.105,-7.245,0,0.108,84.655,0.491
